angle;error_average_deltas;error_stddev_deltas;error_average_ratios;error_stddev_ratios
3;8926.61190545;22.1170366657;270521.322552;149.625698721
5;10576.8934486;23.8857016434;15768.1100963;61.8752711474
10;18746.1700083;14.0853083406;2111.99081545;6.16706798456
15;19816.4125467;10.792123818;2267.37827047;6.04565403587
20;19389.8668634;12.6270416305;2159.15124463;3.85432626202
25;20881.418344;10.789021488;2182.91251186;3.07350420624
30;20370.807737;9.57318705838;2076.85440791;2.87668508454
35;21291.4270273;8.68454362379;2222.30242617;2.97764022469
40;20418.320673;10.5185304576;2187.3544523;2.96915351457
45;20600.0145707;8.626145448;2235.03946562;2.78097466842
50;20888.2539532;6.43862230622;2253.48617791;2.63781371047
55;20819.4498816;7.79639350615;2207.92316093;2.00551362432
60;20904.7054144;8.53552027684;2278.16443434;2.74221034605
65;20979.3566441;9.52910417427;2258.48196285;2.72696219941
70;21050.9783806;6.58278401699;2234.3448894;2.47074517392
75;20831.642862;7.35444724849;2247.83437991;2.64260979349
80;20796.9519391;6.91952823235;2235.3828665;2.35612253568
85;20981.6086472;7.25078720811;2248.32500872;1.98439033662
90;21193.9938097;6.42756074906;2212.85881928;2.3997908393
95;21183.4859752;4.82824075516;2215.79991112;2.67758230941
100;21268.9894416;4.61455098162;2264.28845256;1.61328863836
