angle;error_average_ratios;error_stddev_ratios
5;39017,1727664;67,4606816728
6;30026,5282664;83,7799497961
7;2097,94788066;6,06238640285
8;2228,24662846;6,84829221766
9;2756,77774547;13,0621902512
10;5193,33295694;29,4339779408
11;2248,1985764;8,03636199934
12;2580,16687452;12,1260260129
13;4752,44394431;27,8407920294
14;2196,42247466;3,95167164961
15;2029,94084272;3,21414482824
20;2130,06007193;3,16168067881
25;2209,99045515;2,49913911951
30;2246,01723329;3,83403818145
35;2232,0252577;3,66751522351
40;2219,62170235;3,63013037231
45;2197,01400094;3,22571835529
50;2264,68273722;2,88651114876
55;2222,21849423;2,9834812441
60;2239,81988478;2,6841522633
65;2236,90539744;2,23609256073
70;2263,92364719;2,27857561873
75;2220,34415503;2,7895799319
80;2240,92502825;2,28096681743
85;2241,4856073;2,11721306364
90;2240,04973682;1,98747300167
95;2232,67714305;2,39214056584
100;2248,72997798;1,919171021
